Date,Price,Open,High,Low,Vol.,Change %
21-Jan-19,229.15,230,231.15,228.4,117.75K,-0.37%
18-Jan-19,230,232.05,232.9,229.6,144.93K,-0.88%
17-Jan-19,232.05,233,233,230.3,91.70K,0.04%
16-Jan-19,231.95,233.95,233.95,231.5,78.08K,-0.28%
15-Jan-19,232.6,231,233.6,231,99.83K,0.82%
14-Jan-19,230.7,233,233,229.45,195.17K,-0.69%
11-Jan-19,232.3,233.05,233.7,231.5,160.58K,-0.32%
10-Jan-19,233.05,232.95,233.85,232.25,100.19K,0.04%
9-Jan-19,232.95,234.35,234.85,232,174.67K,-0.43%
8-Jan-19,233.95,234.5,235.1,233.25,209.52K,-0.15%
7-Jan-19,234.3,236.8,238.1,233.8,197.29K,-0.59%
4-Jan-19,235.7,234.05,237.15,234,255.74K,0.30%
3-Jan-19,235,239.7,239.7,233.35,280.95K,-0.84%
2-Jan-19,237,241.1,241.2,235,269.49K,-1.70%
1-Jan-19,241.1,241,241.75,240.4,140.27K,0.15%
31-Dec-18,240.75,243,244.5,240.05,236.32K,-0.66%
28-Dec-18,242.35,242.8,243.3,239.9,404.04K,-2.92%
27-Dec-18,249.65,247.55,252.65,244,514.34K,0.95%
26-Dec-18,247.3,249.9,250.55,246.35,190.78K,-0.56%
24-Dec-18,248.7,254,254,247.4,507.19K,-1.19%
21-Dec-18,251.7,251.5,252.5,247.3,364.87K,0.28%
20-Dec-18,251,249.5,254,248.1,221.30K,-0.34%
19-Dec-18,251.85,252.3,253.3,250.35,225.72K,-0.16%
18-Dec-18,252.25,253.3,254,249.4,206.11K,0.34%
17-Dec-18,251.4,247.15,254.1,246.4,207.16K,1.88%
14-Dec-18,246.75,244.95,249.7,242.35,127.24K,0.80%
13-Dec-18,244.8,249.35,249.35,243.35,137.59K,-0.91%
12-Dec-18,247.05,241.85,247.65,239.9,220.07K,2.00%
11-Dec-18,242.2,235,243.65,234.6,201.07K,1.51%
10-Dec-18,238.6,236,239.5,228.5,320.66K,0.76%
7-Dec-18,236.8,242,242.9,236.55,290.36K,-1.62%
6-Dec-18,240.7,246,246,240,231.69K,-1.76%
5-Dec-18,245,251.8,252.25,244.2,257.17K,-2.85%
4-Dec-18,252.2,251.5,253.85,248.65,188.58K,1.35%
3-Dec-18,248.85,246.45,251.95,245.45,574.09K,1.86%
30-Nov-18,244.3,248,248.25,239.55,472.47K,-0.95%
29-Nov-18,246.65,251.95,251.95,241.5,325.68K,-0.48%
28-Nov-18,247.85,252.5,253.6,247.35,203.07K,-1.61%
27-Nov-18,251.9,252.7,254.15,250.15,501.71K,0.48%
26-Nov-18,250.7,256.5,258.5,247.9,367.56K,-2.36%
22-Nov-18,256.75,261,262.95,256,198.33K,-1.61%
21-Nov-18,260.95,262,263,260.1,114.24K,-0.17%
20-Nov-18,261.4,263.8,265.5,261.2,117.45K,-0.83%
19-Nov-18,263.6,265.1,265.9,262.8,136.10K,0.06%
16-Nov-18,263.45,265.65,265.7,261.95,790.89K,0.15%
15-Nov-18,263.05,264.2,266.65,262.2,133.32K,-0.96%
14-Nov-18,265.6,266.9,267.15,264,108.74K,0.08%
13-Nov-18,265.4,268.8,269.55,264.55,311.70K,0.51%
12-Nov-18,264.05,270,271.2,263.3,361.79K,-1.55%
9-Nov-18,268.2,268,271.7,266.8,246.32K,0.47%
7-Nov-18,266.95,266.1,267.4,265.5,84.94K,0.62%
6-Nov-18,265.3,264.8,266.15,264.3,162.08K,0.64%
5-Nov-18,263.6,262,265,262,360.95K,0.86%
2-Nov-18,261.35,259.45,264.45,258.45,2.58M,0.10%
1-Nov-18,261.1,265.4,265.7,260.4,469.67K,-1.90%
31-Oct-18,266.15,265,267.45,263.8,794.31K,-3.53%
30-Oct-18,275.9,286.8,286.8,275,173.09K,-3.88%
29-Oct-18,287.05,281,288.3,277.65,114.63K,2.23%
26-Oct-18,280.8,284,284.25,275.9,99.86K,-0.30%
25-Oct-18,281.65,275.45,283.65,274,115.52K,1.66%
24-Oct-18,277.05,280,280.5,273.7,1.37M,-0.02%
23-Oct-18,277.1,276,280.3,274.7,111.77K,0.40%
22-Oct-18,276,276,280.2,274.4,113.04K,0.09%
19-Oct-18,275.75,279.65,280.85,274.8,105.05K,-1.39%
17-Oct-18,279.65,278.5,283.25,277.7,261.72K,1.14%
16-Oct-18,276.5,278.95,279,274.7,61.69K,0.29%
15-Oct-18,275.7,281.75,281.75,272.9,99.26K,-1.09%
12-Oct-18,278.75,268,280.35,268,174.13K,4.56%
11-Oct-18,266.6,269,274.4,265.25,119.06K,-1.84%
10-Oct-18,271.6,272.9,276.4,270.35,327.30K,-0.48%
9-Oct-18,272.9,269.25,276.8,268.8,161.14K,1.96%
8-Oct-18,267.65,265,272.55,262.65,161.45K,1.75%
5-Oct-18,263.05,274.95,274.95,261.55,155.96K,-3.33%
4-Oct-18,272.1,276.55,277.65,267.15,130.96K,-1.61%
3-Oct-18,276.55,272.9,280.9,268.75,392.39K,1.47%
1-Oct-18,272.55,266,273.55,263,136.41K,2.14%
28-Sep-18,266.85,277.75,277.75,264.85,172.48K,-3.42%
27-Sep-18,276.3,274.05,278,271.1,158.46K,1.39%
26-Sep-18,272.5,279,287,270.4,106.08K,-0.98%
25-Sep-18,275.2,282.95,287,273.75,179.37K,-2.22%
24-Sep-18,281.45,276,283.85,275.7,217.23K,2.10%
21-Sep-18,275.65,283,286.15,273.85,193.75K,-1.75%
