"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2018","261.35","281.00","288.30","258.45","4.14M","-6.93%"
"Oct 21, 2018","280.80","276.00","284.25","273.70","1.81M","1.83%"
"Oct 14, 2018","275.75","281.75","283.25","272.90","527.72K","-1.08%"
"Oct 07, 2018","278.75","265.00","280.35","262.65","943.09K","5.97%"
"Sep 30, 2018","263.05","266.00","280.90","261.55","815.72K","-1.42%"
"Sep 23, 2018","266.85","276.00","287.00","264.85","833.63K","-3.19%"
"Sep 16, 2018","275.65","277.00","286.15","269.30","705.57K","-0.60%"
"Sep 09, 2018","277.30","286.55","287.50","276.00","406.92K","-2.96%"
"Sep 02, 2018","285.75","286.70","289.90","272.20","572.27K","-0.12%"
"Aug 26, 2018","286.10","292.40","299.60","283.00","728.77K","-1.48%"
"Aug 19, 2018","290.40","282.10","293.65","281.85","757.89K","3.27%"
"Aug 12, 2018","281.20","280.00","286.45","276.45","930.32K","1.88%"
"Aug 05, 2018","276.00","278.00","288.50","272.95","1.98M","-0.90%"
"Jul 29, 2018","278.50","264.90","281.80","260.85","2.83M","6.32%"
"Jul 22, 2018","261.95","263.85","270.00","259.35","410.77K","-0.46%"
"Jul 15, 2018","263.15","271.70","271.70","258.75","373.65K","-1.72%"
"Jul 08, 2018","267.75","272.00","279.80","264.20","826.54K","-1.31%"
"Jul 01, 2018","271.30","264.00","272.00","258.70","641.66K","2.61%"
"Jun 24, 2018","264.40","264.40","280.00","256.00","907.44K","-0.26%"
"Jun 17, 2018","265.10","280.00","280.00","263.25","483.08K","-5.00%"
"Jun 10, 2018","279.05","290.90","294.35","277.60","1.01M","-3.74%"
"Jun 03, 2018","289.90","294.00","297.55","282.55","850.58K","-1.44%"
"May 27, 2018","294.15","276.10","303.00","276.10","1.66M","6.56%"
"May 20, 2018","276.05","264.00","283.00","264.00","564.72K","3.62%"
"May 13, 2018","266.40","271.00","274.50","257.60","607.84K","-1.53%"
"May 06, 2018","270.55","272.85","272.90","265.55","1.58M","-0.44%"
"Apr 29, 2018","271.75","286.00","287.95","271.00","451.91K","-4.83%"
"Apr 22, 2018","285.55","291.95","293.80","282.95","1.29M","-2.23%"
"Apr 15, 2018","292.05","285.35","294.80","281.15","430.68K","2.35%"
"Apr 08, 2018","285.35","275.55","289.00","273.65","583.20K","3.59%"
"Apr 01, 2018","275.45","283.50","283.50","272.45","461.37K","-2.84%"
"Mar 25, 2018","283.50","269.95","285.45","268.00","408.09K","5.29%"
"Mar 18, 2018","269.25","278.35","278.60","265.45","740.47K","-3.39%"
"Mar 11, 2018","278.70","306.00","307.10","276.75","2.98M","-8.53%"
"Mar 04, 2018","304.70","311.00","311.10","301.50","1.65M","-2.59%"
"Feb 25, 2018","312.80","310.70","316.55","305.20","2.20M","0.72%"
"Feb 18, 2018","310.55","303.90","315.00","301.05","1.69M","2.49%"
"Feb 11, 2018","303.00","302.00","311.70","297.00","2.18M","0.85%"
"Feb 04, 2018","300.45","292.00","304.10","284.80","2.95M","2.84%"
"Jan 28, 2018","292.15","299.40","308.00","286.40","2.21M","-2.50%"
"Jan 21, 2018","299.65","285.15","302.70","283.60","1.26M","5.34%"
"Jan 14, 2018","284.45","309.00","310.20","279.00","1.24M","-7.65%"
"Jan 07, 2018","308.00","279.70","310.45","278.75","3.24M","10.49%"
"Dec 31, 2017","278.75","265.95","280.80","262.55","2.51M","5.99%"
"Dec 24, 2017","263.00","266.00","272.25","261.05","947.73K","-1.13%"
"Dec 17, 2017","266.00","271.00","274.75","262.45","1.33M","-1.86%"
"Dec 10, 2017","271.05","265.75","273.00","261.40","897.18K","2.38%"
"Dec 03, 2017","264.75","273.00","274.10","262.65","567.63K","-2.75%"
"Nov 26, 2017","272.25","271.50","282.00","269.50","719.62K","0.42%"
"Nov 19, 2017","271.10","272.00","281.20","269.25","743.91K","-0.64%"
"Nov 12, 2017","272.85","277.00","279.90","266.30","1.23M","-4.15%"
"Nov 05, 2017","284.65","286.90","290.75","278.20","1.65M","-0.68%"
"Oct 29, 2017","286.60","290.80","292.40","282.05","2.07M","-1.46%"
"Oct 22, 2017","290.85","285.00","294.90","285.00","1.69M","1.62%"
"Oct 15, 2017","286.20","287.95","291.90","285.00","2.01M","-0.64%"
"Oct 08, 2017","288.05","276.05","289.05","276.05","4.77M","4.20%"
"Oct 01, 2017","276.45","273.00","278.00","268.70","2.14M","2.16%"
"Sep 24, 2017","270.60","253.00","272.20","250.20","3.09M","6.58%"
"Sep 17, 2017","253.90","262.00","265.25","248.20","4.37M","-2.31%"
"Sep 10, 2017","259.90","255.30","262.10","253.25","2.37M","2.14%"
"Sep 03, 2017","254.45","239.00","258.80","239.00","2.18M","6.75%"
"Aug 27, 2017","238.35","242.00","244.35","236.70","1.64M","-1.18%"
"Aug 20, 2017","241.20","244.00","249.00","238.00","2.21M","-0.86%"
"Aug 13, 2017","243.30","237.10","249.35","234.65","2.45M","3.16%"
"Aug 06, 2017","235.85","249.00","253.00","234.00","1.58M","-5.36%"
"Jul 30, 2017","249.20","251.00","253.75","238.50","2.90M","-0.97%"
"Jul 23, 2017","251.65","263.40","265.30","250.40","1.15M","-4.04%"
"Jul 16, 2017","262.25","250.00","262.85","246.35","4.34M","4.67%"
"Jul 09, 2017","250.55","251.50","260.00","248.65","3.36M","-0.20%"
"Jul 02, 2017","251.05","244.45","252.80","243.00","839.64K","2.81%"
"Jun 25, 2017","244.20","246.00","248.60","243.50","692.80K","-0.49%"
"Jun 18, 2017","245.40","256.25","256.65","243.35","1.19M","-3.92%"
"Jun 11, 2017","255.40","262.00","262.95","253.20","1.55M","-2.39%"
"Jun 04, 2017","261.65","268.00","268.45","261.10","801.92K","-2.66%"
"May 28, 2017","268.80","268.00","270.65","260.00","1.39M","0.17%"
"May 21, 2017","268.35","277.30","278.15","261.00","2.07M","-3.12%"
"May 14, 2017","277.00","277.55","283.75","274.65","1.02M","0.29%"
"May 07, 2017","276.20","280.00","280.70","274.60","940.49K","-0.99%"
"Apr 30, 2017","278.95","278.25","284.35","274.75","1.00M","0.76%"
"Apr 23, 2017","276.85","278.50","280.75","273.70","1.31M","-0.13%"
