"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2018","7,136.80","6,748.00","7,160.90","6,508.00","490.63K","6.44%"
"Oct 21, 2018","6,705.25","6,839.00","6,899.65","6,501.65","464.85K","-0.82%"
"Oct 14, 2018","6,760.35","7,348.00","7,349.00","6,721.00","276.83K","-7.18%"
"Oct 07, 2018","7,283.05","6,926.10","7,321.95","6,650.00","469.51K","5.66%"
"Sep 30, 2018","6,893.00","7,355.00","7,499.60","6,801.05","389.64K","-6.22%"
"Sep 23, 2018","7,350.55","8,100.00","8,100.00","7,300.75","546.97K","-8.57%"
"Sep 16, 2018","8,039.55","8,598.00","8,652.00","7,589.50","441.25K","-6.87%"
"Sep 09, 2018","8,632.85","8,715.00","8,748.00","8,401.00","216.49K","-1.14%"
"Sep 02, 2018","8,732.55","9,100.00","9,110.00","8,650.00","382.12K","-4.01%"
"Aug 26, 2018","9,097.25","9,220.00","9,470.00","9,082.30","264.54K","-0.72%"
"Aug 19, 2018","9,163.40","9,151.00","9,274.70","9,061.00","133.65K","0.17%"
"Aug 12, 2018","9,148.30","9,120.00","9,285.80","9,014.55","116.88K","-0.03%"
"Aug 05, 2018","9,151.35","9,245.00","9,447.95","9,061.10","184.36K","-0.40%"
"Jul 29, 2018","9,188.35","9,320.00","9,590.00","9,130.00","172.21K","-1.36%"
"Jul 22, 2018","9,315.45","9,415.00","9,922.85","9,292.00","232.40K","-0.76%"
"Jul 15, 2018","9,386.75","9,430.00","9,528.50","9,300.00","118.14K","-0.50%"
"Jul 08, 2018","9,434.30","9,351.00","9,550.00","9,321.15","174.78K","1.39%"
"Jul 01, 2018","9,304.80","8,885.00","9,407.00","8,760.00","179.72K","5.48%"
"Jun 24, 2018","8,821.20","8,850.25","9,011.00","8,730.00","170.69K","-0.77%"
"Jun 17, 2018","8,889.70","8,950.00","9,050.90","8,813.00","133.24K","-0.70%"
"Jun 10, 2018","8,952.50","8,952.00","9,090.85","8,690.60","148.56K","0.08%"
"Jun 03, 2018","8,945.70","8,840.00","9,098.15","8,684.00","241.13K","1.75%"
"May 27, 2018","8,792.15","8,589.00","8,837.05","8,501.00","299.78K","2.87%"
"May 20, 2018","8,546.85","8,510.00","8,583.95","8,260.05","157.15K","0.40%"
