Date,Price,Open,High,Low,Vol.,Change %,,
21-Jan-19,7200.95,7384.00,7384.00,7160.45,51.42K,-2.07%,,
18-Jan-19,7353.35,7365.00,7375.00,7324.70,22.21K,0.27%,,
17-Jan-19,7333.70,7325.00,7397.95,7310.25,26.92K,0.39%,,
16-Jan-19,7305.25,7365.00,7384.75,7291.05,38.53K,-0.60%,,
15-Jan-19,7349.55,7438.70,7465.00,7321.00,36.81K,-0.72%,,
14-Jan-19,7402.55,7311.00,7431.70,7251.85,47.00K,1.13%,,
11-Jan-19,7319.80,7395.00,7395.50,7288.65,36.11K,-0.90%,,
10-Jan-19,7385.95,7483.30,7502.05,7220.00,41.41K,-1.07%,,
9-Jan-19,7465.85,7493.00,7525.00,7417.50,58.30K,0.60%,,
8-Jan-19,7421.35,7385.00,7456.25,7320.00,49.60K,0.98%,,
7-Jan-19,7349.00,7350.00,7413.15,7301.00,62.19K,1.54%,,
4-Jan-19,7237.40,7249.90,7309.95,7168.55,71.66K,0.47%,,
3-Jan-19,7203.90,7282.45,7350.55,7184.05,44.81K,-0.94%,,
2-Jan-19,7272.45,7465.00,7465.00,7250.05,58.13K,-2.74%,,
1-Jan-19,7477.60,7457.90,7497.00,7396.45,120.79K,0.21%,,
31-Dec-18,7462.30,7575.00,7586.60,7445.00,40.54K,-0.64%,,
28-Dec-18,7510.70,7539.00,7575.75,7492.00,29.25K,0.07%,,
27-Dec-18,7505.30,7645.00,7670.00,7485.35,45.20K,-0.86%,,
26-Dec-18,7570.75,7512.00,7599.80,7406.00,51.11K,0.76%,,
24-Dec-18,7513.70,7542.00,7597.50,7478.05,59.66K,-0.31%,,
21-Dec-18,7536.75,7810.00,7845.15,7512.50,113.49K,-3.49%,,
20-Dec-18,7808.95,7830.55,7917.75,7772.95,51.55K,-1.35%,,
19-Dec-18,7916.15,7771.00,7929.00,7771.00,55.38K,2.04%,,
18-Dec-18,7757.70,7715.00,7772.00,7654.00,45.75K,0.64%,,
17-Dec-18,7708.55,7675.00,7791.70,7660.05,62.80K,0.71%,,
14-Dec-18,7654.10,7671.00,7684.45,7551.95,51.12K,-0.13%,,
13-Dec-18,7663.75,7499.00,7695.55,7488.00,57.63K,2.36%,,
