Date,Price,Open,High,Low,Vol.,Change %
20-Jan-19,7046.15,7384.00,7384.00,7011.00,-,-4.18%
13-Jan-19,7353.35,7311.00,7465.00,7251.85,171.47K,0.46%
6-Jan-19,7319.80,7350.00,7525.00,7220.00,247.61K,1.14%
30-Dec-18,7237.40,7575.00,7586.60,7168.55,335.94K,-3.64%
23-Dec-18,7510.70,7542.00,7670.00,7406.00,185.22K,-0.35%
16-Dec-18,7536.75,7675.00,7929.00,7512.50,328.97K,-1.53%
9-Dec-18,7654.10,7211.00,7695.55,7162.35,284.17K,4.65%
2-Dec-18,7314.10,7704.00,7791.00,7178.30,281.44K,-4.57%
25-Nov-18,7664.60,7448.00,7719.00,7390.00,328.99K,3.44%
18-Nov-18,7409.95,7379.00,7475.00,7287.15,279.58K,1.06%
11-Nov-18,7332.05,7283.00,7543.10,7023.65,424.25K,0.92%
4-Nov-18,7265.50,7150.00,7302.45,7037.30,219.67K,1.80%
28-Oct-18,7136.80,6748.00,7160.90,6508.00,490.63K,6.44%
21-Oct-18,6705.25,6839.00,6899.65,6501.65,464.85K,-0.82%
14-Oct-18,6760.35,7348.00,7349.00,6721.00,276.83K,-7.18%
7-Oct-18,7283.05,6926.10,7321.95,6650.00,469.51K,5.66%
30-Sep-18,6893.00,7355.00,7499.60,6801.05,389.64K,-6.22%
23-Sep-18,7350.55,8100.00,8100.00,7300.75,546.97K,-8.57%
16-Sep-18,8039.55,8598.00,8652.00,7589.50,441.25K,-6.87%
9-Sep-18,8632.85,8715.00,8748.00,8401.00,216.49K,-1.14%
2-Sep-18,8732.55,9100.00,9110.00,8650.00,382.12K,-4.01%
26-Aug-18,9097.25,9220.00,9470.00,9082.30,264.54K,-0.72%
19-Aug-18,9163.40,9151.00,9274.70,9061.00,133.65K,0.17%
12-Aug-18,9148.30,9120.00,9285.80,9014.55,116.88K,-0.03%
5-Aug-18,9151.35,9245.00,9447.95,9061.10,184.36K,-0.40%
29-Jul-18,9188.35,9320.00,9590.00,9130.00,172.21K,-1.36%
22-Jul-18,9315.45,9415.00,9922.85,9292.00,232.40K,-0.76%
15-Jul-18,9386.75,9430.00,9528.50,9300.00,118.14K,-0.50%
8-Jul-18,9434.30,9351.00,9550.00,9321.15,174.78K,1.39%
1-Jul-18,9304.80,8885.00,9407.00,8760.00,179.72K,5.48%
24-Jun-18,8821.20,8850.25,9011.00,8730.00,170.69K,-0.77%
17-Jun-18,8889.70,8950.00,9050.90,8813.00,133.24K,-0.70%
10-Jun-18,8952.50,8952.00,9090.85,8690.60,148.56K,0.08%
3-Jun-18,8945.70,8840.00,9098.15,8684.00,241.13K,1.75%
27-May-18,8792.15,8589.00,8837.05,8501.00,299.78K,2.87%
20-May-18,8546.85,8510.00,8583.95,8260.05,157.15K,0.40%
13-May-18,8512.55,8750.00,8766.40,8499.00,154.55K,-2.58%
6-May-18,8738.30,8729.95,8805.90,8658.00,117.80K,0.68%
29-Apr-18,8679.05,8785.30,8994.00,8659.20,166.20K,-1.13%
22-Apr-18,8777.95,9020.55,9142.00,8721.10,207.65K,-2.87%
15-Apr-18,9037.20,9121.25,9248.00,9026.00,87.58K,-1.11%
8-Apr-18,9138.45,9208.10,9345.00,9120.00,96.08K,-0.75%
1-Apr-18,9207.85,8989.00,9230.00,8950.00,157.52K,3.89%
25-Mar-18,8863.15,8635.00,9085.40,8609.65,89.15K,2.92%
