Date,Price,Open,High,Low,Vol.,Change %
21-Jan-19,143.3,147,147,142.6,405.61K,-0.73%
18-Jan-19,144.35,145.6,146.3,144,69.00K,-0.65%
17-Jan-19,145.3,146.8,147.65,144.45,95.03K,-0.55%
16-Jan-19,146.1,146.3,148.4,145.4,111.51K,0.21%
15-Jan-19,145.8,147.6,147.6,144.2,5.75M,0.38%
14-Jan-19,145.25,148.55,148.55,145,1.77M,-1.56%
11-Jan-19,147.55,148.7,150.1,146.9,130.66K,-0.14%
10-Jan-19,147.75,147.9,149.4,147,255.37K,1.09%
9-Jan-19,146.15,147.7,148.9,145.2,1.38M,-0.54%
8-Jan-19,146.95,149.55,149.55,146,229.54K,-0.98%
7-Jan-19,148.4,147,149.65,146.35,386.97K,1.89%
4-Jan-19,145.65,142.25,146.35,142.25,298.02K,1.57%
3-Jan-19,143.4,146.55,147.1,142.8,328.73K,-2.18%
2-Jan-19,146.6,148.3,150.1,145.75,200.39K,-1.15%
1-Jan-19,148.3,147.7,149.4,146.65,291.11K,-0.24%
31-Dec-18,148.65,149.75,150,147.8,110.30K,-0.47%
28-Dec-18,149.35,147.8,151,146.5,283.41K,0.91%
27-Dec-18,148,147.5,149.5,144.5,230.06K,1.68%
26-Dec-18,145.55,146.85,147.9,143.9,412.76K,-0.89%
24-Dec-18,146.85,150.7,150.7,145.7,113.79K,-2.55%
21-Dec-18,150.7,149.1,151.3,148.7,175.90K,1.07%
20-Dec-18,149.1,149.4,149.55,146.8,132.40K,-0.47%
19-Dec-18,149.8,149.75,150.8,147.4,154.32K,1.35%
18-Dec-18,147.8,146,148.1,145.35,92.05K,1.20%
17-Dec-18,146.05,147,150.95,145,574.81K,1.67%
14-Dec-18,143.65,140.1,144,139.75,324.28K,1.84%
13-Dec-18,141.05,142.9,142.9,140,153.90K,0.18%
12-Dec-18,140.8,138.7,141.5,137.15,144.20K,2.33%
11-Dec-18,137.6,135,138,134.5,108.09K,0.95%
10-Dec-18,136.3,136.5,139.05,134.85,741.71K,-1.12%
7-Dec-18,137.85,141.9,141.9,136.75,176.86K,-0.93%
6-Dec-18,139.15,140.2,142,138.3,299.65K,-1.24%
5-Dec-18,140.9,143.05,144.8,139.5,327.88K,-1.50%
4-Dec-18,143.05,145,145,142.2,263.49K,-1.41%
3-Dec-18,145.1,140.95,145.6,140.2,949.86K,3.68%
30-Nov-18,139.95,140.75,142.4,137.65,438.30K,-1.65%
29-Nov-18,142.3,144,145.8,140.85,565.53K,-0.84%
28-Nov-18,143.5,147,147.3,142.1,457.06K,-1.44%
27-Nov-18,145.6,146.3,146.65,143.35,68.83K,0.80%
26-Nov-18,144.45,146.5,146.6,141.8,243.95K,-1.13%
22-Nov-18,146.1,147.85,148.5,145.65,115.07K,-1.18%
21-Nov-18,147.85,149.5,149.95,147.2,193.10K,-1.00%
20-Nov-18,149.35,152.5,153,149,178.48K,-2.42%
19-Nov-18,153.05,154.5,154.5,152.2,109.42K,-0.65%
16-Nov-18,154.05,153.75,155.45,153.15,113.23K,0.10%
15-Nov-18,153.9,158.7,159,153.45,156.13K,-2.16%
