"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 20, 2019","139.55","146.35","146.50","139.15","-","-3.33%"
"Jan 13, 2019","144.35","148.55","148.55","144.00","7.79M","-2.17%"
"Jan 06, 2019","147.55","147.00","150.10","145.20","2.38M","1.30%"
"Dec 30, 2018","145.65","149.75","150.10","142.25","1.23M","-2.48%"
"Dec 23, 2018","149.35","150.70","151.00","143.90","1.04M","-0.90%"
"Dec 16, 2018","150.70","147.00","151.30","145.00","1.13M","4.91%"
"Dec 09, 2018","143.65","136.50","144.00","134.50","1.47M","4.21%"
"Dec 02, 2018","137.85","140.95","145.60","136.75","2.02M","-1.50%"
"Nov 25, 2018","139.95","146.50","147.30","137.65","1.77M","-4.21%"
"Nov 18, 2018","146.10","154.50","154.50","145.65","596.07K","-5.16%"
"Nov 11, 2018","154.05","154.50","160.25","152.35","897.16K","-0.16%"
"Nov 04, 2018","154.30","157.90","157.90","151.90","2.08M","-2.28%"
"Oct 28, 2018","157.90","160.00","160.90","155.00","868.35K","-0.88%"
"Oct 21, 2018","159.30","163.40","167.90","154.70","795.88K","-1.58%"
"Oct 14, 2018","161.85","164.55","165.60","160.20","367.73K","-1.34%"
"Oct 07, 2018","164.05","161.75","166.60","159.60","723.42K","0.58%"
"Sep 30, 2018","163.10","168.90","170.20","160.40","786.06K","-2.10%"
"Sep 23, 2018","166.60","168.00","171.60","164.55","1.70M","-0.45%"
"Sep 16, 2018","167.35","175.00","175.00","166.10","795.67K","-4.37%"
"Sep 09, 2018","175.00","170.00","175.50","167.05","634.39K","3.28%"
"Sep 02, 2018","169.45","173.30","173.30","165.65","597.21K","-0.82%"
"Aug 26, 2018","170.85","165.00","174.25","164.25","766.64K","4.02%"
"Aug 19, 2018","164.25","158.00","167.40","157.40","518.79K","3.99%"
"Aug 12, 2018","157.95","159.50","160.00","156.50","242.43K","-1.00%"
"Aug 05, 2018","159.55","156.00","161.20","154.15","520.95K","1.98%"
"Jul 29, 2018","156.45","154.50","158.75","151.55","967.90K","1.16%"
"Jul 22, 2018","154.65","155.00","159.50","149.95","2.61M","-0.42%"
"Jul 15, 2018","155.30","152.50","156.50","152.35","614.27K","1.70%"
"Jul 08, 2018","152.70","151.00","155.20","150.40","1.17M","1.63%"
"Jul 01, 2018","150.25","159.55","159.55","150.00","12.90M","-5.77%"
"Jun 24, 2018","159.45","157.00","160.60","149.45","540.66K","1.63%"
"Jun 17, 2018","156.90","157.50","157.70","153.80","311.98K","0.54%"
"Jun 10, 2018","156.05","161.55","162.55","154.80","608.66K","-3.40%"
"Jun 03, 2018","161.55","165.00","165.40","160.10","454.53K","-1.64%"
"May 27, 2018","164.25","166.00","169.60","164.10","2.03M","-0.51%"
"May 20, 2018","165.10","165.10","168.00","162.55","2.20M","-0.75%"
"May 13, 2018","166.35","167.40","173.90","165.60","2.28M","-0.72%"
"May 06, 2018","167.55","170.30","172.20","167.00","4.84M","-2.05%"
"Apr 29, 2018","171.05","170.00","175.85","169.25","330.47K","0.12%"
"Apr 22, 2018","170.85","175.95","176.20","169.50","1.01M","-1.95%"
"Apr 15, 2018","174.25","171.00","179.85","169.85","2.22M","1.87%"
"Apr 08, 2018","171.05","170.00","171.50","167.40","849.40K","1.15%"
"Apr 01, 2018","169.10","169.70","171.30","165.50","412.72K","-0.35%"
"Mar 25, 2018","169.70","170.00","172.50","166.55","361.95K","-0.26%"
"Mar 18, 2018","170.15","165.00","171.90","163.70","2.86M","2.90%"
"Mar 11, 2018","165.35","164.05","172.50","163.95","3.01M","0.88%"
"Mar 04, 2018","163.90","163.00","165.90","155.70","621.81K","0.55%"
"Feb 25, 2018","163.00","163.00","166.00","161.70","2.28M","0.12%"
"Feb 18, 2018","162.80","163.00","164.60","160.15","20.31M","0.18%"
"Feb 11, 2018","162.50","163.20","165.45","162.00","6.14M","-0.43%"
"Feb 04, 2018","163.20","165.10","167.45","158.90","1.70M","-1.15%"
"Jan 28, 2018","165.10","170.60","172.70","164.20","2.66M","-3.84%"
"Jan 21, 2018","171.70","172.50","176.20","170.10","2.33M","-0.38%"
"Jan 14, 2018","172.35","172.00","175.10","170.15","2.28M","0.20%"
"Jan 07, 2018","172.00","178.00","178.45","171.60","4.22M","-3.02%"
"Dec 31, 2017","177.35","177.15","180.35","175.95","4.83M","0.08%"
"Dec 24, 2017","177.20","179.80","180.50","175.45","4.37M","-1.45%"
"Dec 17, 2017","179.80","175.85","180.55","174.00","2.05M","1.44%"
"Dec 10, 2017","177.25","180.60","181.75","173.65","6.05M","-1.50%"
"Dec 03, 2017","179.95","181.15","182.00","174.30","8.10M","-0.66%"
"Nov 26, 2017","181.15","180.90","186.35","179.65","4.97M","0.42%"
"Nov 19, 2017","180.40","177.00","185.80","177.00","14.71M","1.66%"
"Nov 12, 2017","177.45","178.00","181.45","173.50","6.59M","0.45%"
"Nov 05, 2017","176.65","180.00","182.00","175.40","4.40M","-3.02%"
"Oct 29, 2017","182.15","181.50","184.30","176.50","12.59M","-0.16%"
"Oct 22, 2017","182.45","175.00","187.95","173.85","1.11M","4.17%"
"Oct 15, 2017","175.15","175.30","179.75","173.70","1.20M","-0.45%"
"Oct 08, 2017","175.95","175.00","178.80","173.80","1.66M","0.28%"
"Oct 01, 2017","175.45","168.00","177.65","167.00","2.21M","4.90%"
"Sep 24, 2017","167.25","166.50","168.00","164.25","797.63K","0.63%"
"Sep 17, 2017","166.20","167.40","170.20","164.60","997.99K","-0.66%"
"Sep 10, 2017","167.30","166.55","171.55","166.55","1.16M","-0.18%"
"Sep 03, 2017","167.60","167.90","170.25","166.30","1.48M","-0.33%"
"Aug 27, 2017","168.15","169.55","174.00","163.70","12.25M","-0.59%"
"Aug 20, 2017","169.15","174.10","175.05","167.25","2.80M","-2.39%"
"Aug 13, 2017","173.30","169.80","178.60","168.70","2.86M","2.51%"
"Aug 06, 2017","169.05","177.00","179.00","167.70","814.64K","-4.63%"
"Jul 30, 2017","177.25","165.60","178.00","162.00","3.48M","8.21%"
"Jul 23, 2017","163.80","164.70","167.10","161.95","3.68M","-0.33%"
"Jul 16, 2017","164.35","168.25","171.55","161.70","3.79M","-1.62%"
"Jul 09, 2017","167.05","160.05","168.00","158.20","3.25M","5.00%"
"Jul 02, 2017","159.10","158.00","160.00","155.30","1.85M","0.41%"
