"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 20, 2019","187.40","193.95","193.95","185.60","-","-3.20%"
"Jan 13, 2019","193.60","194.05","199.00","190.40","19.73M","-0.39%"
"Jan 06, 2019","194.35","196.10","198.90","193.25","10.27M","-0.79%"
"Dec 30, 2018","195.90","196.70","200.50","191.40","16.94M","-0.58%"
"Dec 23, 2018","197.05","197.00","199.50","191.35","36.54M","0.08%"
"Dec 16, 2018","196.90","190.00","199.50","189.70","37.87M","6.03%"
"Dec 09, 2018","185.70","180.50","186.25","176.65","19.05M","1.67%"
"Dec 02, 2018","182.65","181.10","188.50","180.65","22.59M","1.39%"
"Nov 25, 2018","180.15","180.05","188.50","178.30","27.00M","0.19%"
"Nov 18, 2018","179.80","188.20","191.10","177.80","11.52M","-4.41%"
"Nov 11, 2018","188.10","191.50","192.90","182.85","20.21M","-1.88%"
"Nov 04, 2018","191.70","189.05","192.20","185.00","12.19M","0.97%"
"Oct 28, 2018","189.85","189.40","192.30","178.80","19.54M","0.77%"
"Oct 21, 2018","188.40","189.40","192.65","185.80","15.38M","-0.40%"
"Oct 14, 2018","189.15","188.45","191.45","185.10","15.25M","0.37%"
"Oct 07, 2018","188.45","186.50","189.75","182.50","17.23M","0.61%"
"Sep 30, 2018","187.30","188.30","193.90","184.55","18.74M","-0.58%"
"Sep 23, 2018","188.40","200.00","200.35","187.35","22.75M","-5.99%"
"Sep 16, 2018","200.40","197.40","203.90","195.10","20.98M","0.12%"
"Sep 09, 2018","200.15","193.15","201.95","186.20","29.39M","2.27%"
"Sep 02, 2018","195.70","202.85","205.00","191.65","24.05M","-2.88%"
"Aug 26, 2018","201.50","191.15","202.25","190.90","35.68M","5.53%"
"Aug 19, 2018","190.95","187.50","194.60","185.60","13.49M","2.06%"
"Aug 12, 2018","187.10","188.60","190.00","185.75","7.05M","-1.81%"
"Aug 05, 2018","190.55","191.85","193.85","187.65","14.44M","0.18%"
"Jul 29, 2018","190.20","180.90","190.95","180.05","29.31M","5.73%"
"Jul 22, 2018","179.90","175.95","184.80","174.20","41.58M","2.33%"
"Jul 15, 2018","175.80","181.05","183.80","174.10","19.12M","-3.27%"
"Jul 08, 2018","181.75","182.20","185.35","181.25","21.17M","-0.03%"
"Jul 01, 2018","181.80","187.00","189.25","180.55","27.39M","-2.70%"
"Jun 24, 2018","186.85","197.70","198.30","183.15","35.24M","-5.49%"
"Jun 17, 2018","197.70","197.85","199.70","193.80","22.04M","-0.08%"
"Jun 10, 2018","197.85","198.60","199.35","193.40","34.14M","-0.03%"
"Jun 03, 2018","197.90","206.95","206.95","195.10","31.77M","-3.91%"
"May 27, 2018","205.95","212.25","212.70","200.35","202.90M","-2.88%"
"May 20, 2018","212.05","214.45","214.45","209.50","51.55M","-0.42%"
"May 13, 2018","212.95","206.00","216.00","206.00","70.03M","2.95%"
"May 06, 2018","206.85","207.00","214.00","204.70","36.20M","-0.27%"
"Apr 29, 2018","207.40","207.55","209.10","203.25","22.00M","-0.24%"
"Apr 22, 2018","207.90","207.90","210.00","203.90","16.30M","0.34%"
"Apr 15, 2018","207.20","197.25","209.60","196.80","32.61M","4.91%"
"Apr 08, 2018","197.50","196.00","198.65","195.20","14.03M","0.79%"
"Apr 01, 2018","195.95","192.90","199.90","192.90","22.16M","1.40%"
"Mar 25, 2018","193.25","194.40","196.35","192.30","20.87M","-0.51%"
"Mar 18, 2018","194.25","193.40","196.10","191.00","29.96M","1.04%"
"Mar 11, 2018","192.25","193.50","197.15","191.35","28.07M","-0.34%"
"Mar 04, 2018","192.90","196.80","197.50","191.25","26.05M","-2.28%"
"Feb 25, 2018","197.40","195.00","198.50","193.00","22.27M","2.15%"
"Feb 18, 2018","193.25","195.60","196.95","189.25","33.29M","-1.18%"
"Feb 11, 2018","195.55","194.20","199.05","193.30","22.89M","1.22%"
"Feb 04, 2018","193.20","190.00","196.95","190.00","55.42M","0.16%"
"Jan 28, 2018","192.90","194.50","196.15","189.00","49.11M","-0.72%"
"Jan 21, 2018","194.30","196.15","196.95","193.15","28.22M","-0.92%"
"Jan 14, 2018","196.10","197.80","200.25","194.00","38.74M","-0.13%"
"Jan 07, 2018","196.35","202.00","203.25","195.70","27.90M","-2.43%"
"Dec 31, 2017","201.25","199.05","202.85","199.05","15.80M","0.45%"
"Dec 24, 2017","200.35","202.90","204.50","198.50","22.58M","-1.33%"
"Dec 17, 2017","203.05","198.95","204.80","193.40","37.32M","2.11%"
"Dec 10, 2017","198.85","203.80","205.40","197.50","36.08M","-2.09%"
"Dec 03, 2017","203.10","203.50","203.95","196.85","31.45M","0.07%"
